Unnamed: 0,비상소화장치 설치개수,서울시 주거 시설 중 주택 비율,인구밀도(명/km^2),재산피해,노후 주택 수 ,소방관 1명당 담당인구,화재발생건수,안전센터 1개소당 담당인구,출동소요시간,비상소화장치 설치개수 점수,서울시 주거 시설 중 주택 비율 점수,인구밀도(명/km^2) 점수,재산피해 점수,노후 주택 수  점수,소방관 1명당 담당인구 점수,화재발생건수 점수,안전센터 1개소당 담당인구 점수,출동소요시간 점수,전체 점수
송파구,34,36.88642893,19483,673.0642857,32395,2040,92,109800,357.089372,24,8,19,17,20,25,24,21,12,170
관악구,169,55.97635963,16838,434.8127208,43306,1776,119,121688,387.5415929,5,21,13,5,24,21,25,25,20,159
강서구,52,57.85033929,13723,623.2863962,40600,1795,50,94861,394.2216867,21,22,6,16,23,22,9,16,22,157
은평구,83,29.40893029,15849,1055.53317,48925,1823,79,116687,348.8539604,14,4,11,23,25,24,21,24,10,156
금천구,29,48.38295555,18517,805.2427536,17727,1228,82,114821,384.0693431,25,18,17,19,4,6,23,23,19,154
동작구,189,41.30446978,23826,527.7530488,30201,1613,73,95149,415.3271028,4,14,23,13,18,19,19,17,24,151
강남구,65,65.98376415,13932,782.8128492,24073,1454,76,88184,377.1532033,18,25,7,18,9,14,20,15,18,144
양천구,52,35.69677098,25236,505.7272727,30637,1586,47,88176,402.440678,21,7,24,11,19,18,7,14,23,144
구로구,71,50.04858183,20656,1284.391813,29845,1292,63,65886,364.3560831,17,19,21,24,17,11,15,5,14,143
광진구,64,53.87402143,20582,397.98,27190,1520,56,112472,363.9848101,19,20,20,4,14,15,12,22,13,139
중랑구,96,13.48335087,20948,517.8179872,26933,1579,81,96330,329.5961538,10,1,22,12,13,17,22,18,6,121
서대문구,140,39.86262478,18190,577.6640625,29297,1261,63,76584,367.0321716,6,12,16,15,16,9,15,11,15,115
강동구,87,63.81374589,18841,492.8236842,20483,1534,51,76678,326.4758065,12,24,18,9,7,16,10,12,5,113
노원구,48,45.23651287,14191,546.6829268,15808,1819,36,100747,322.0609756,23,17,8,14,2,23,2,19,4,112
도봉구,54,44.83231316,14987,499.9490085,25269,1332,63,77924,292.0317003,20,16,9,10,12,13,15,13,1,109
동대문구,93,41.49872775,25315,1036.521569,22207,1242,48,67329,313.671875,11,15,25,22,8,8,8,6,3,106
성동구,77,37.8175043,16930,10380.72314,15935,1232,55,70250,357.0041322,16,10,14,25,3,7,11,8,11,105
성북구,217,37.16294404,17828,393.1434109,36091,1735,43,107599,343.9649805,3,9,15,3,21,20,5,20,9,105
서초구,78,38.65808022,8774,886.1836735,19445,1271,41,67388,424.5129534,15,11,2,21,6,10,3,7,25,100
마포구,110,41.00364403,15727,471.0109489,28073,1161,66,60773,376.4187726,8,13,10,7,15,4,17,4,17,95
강북구,106,63.80524825,12414,369.992629,39806,1219,62,73415,338.4328358,9,23,4,1,22,5,13,9,8,94
영등포구,87,35.46449303,16203,449.5387931,18779,1314,42,75135,333.3175966,12,6,12,6,5,12,4,10,7,74
용산구,135,30.13804952,10386,373.1111111,24462,868,71,43730,388.8736059,7,5,3,2,11,3,18,3,21,73
종로구,268,26.27217874,6292,492.0846154,24094,474,43,23563,374.1119691,1,3,1,8,10,2,5,1,16,47
중구,224,24.92285651,13232,857.5942029,11550,435,23,24087,310.705036,2,2,5,20,1,1,1,2,2,36
