,자치구,2021_소계_발생,2021_실화_발생,2021_방화_발생,2021_기타_발생,2021_동수_소실,2021_이재가구수_소실,2021_면적_소실,2021_소계_피해액,2021_부동산_피해액,2021_동산_피해액,2021_소계_인명피해,2021_사망_인명피해,2021_부상_인명피해,2022_소계_발생,2022_실화_발생,2022_방화_발생,2022_기타_발생,2022_동수_소실,2022_이재가구수_소실,2022_면적_소실,2022_소계_피해액,2022_부동산_피해액,2022_동산_피해액,2022_소계_인명피해,2022_사망_인명피해,2022_부상_인명피해
0,서울시,4951,4399,87,465,468,282,21723,18268346,6872172,11396174,317,37,280,5396,4756,109,531,586,234,34065,16592551,6614971,9977580,362,37,325
1,종로구,192,169,1,22,-,1,390,465499,169588,295911,12,-,12,191,159,2,30,2,1,501,272206,151976,120230,12,2,10
2,중구,171,136,3,32,47,6,1350,2780374,686265,2094109,16,-,16,190,155,9,26,27,5,956,2401154,551299,1849855,24,2,22
3,용산구,176,160,1,15,6,40,422,296793,123439,173354,5,-,5,207,173,9,25,6,11,390,270752,96719,174033,10,2,8
4,성동구,191,163,2,26,14,9,720,458412,156128,302284,5,-,5,215,186,5,24,34,3,1997,1085583,313315,772268,11,1,10
5,광진구,205,187,3,15,33,6,554,889681,184833,704848,12,2,10,145,131,2,12,15,4,419,484286,172347,311939,7,-,7
6,동대문구,155,131,4,20,9,12,846,1209541,281555,927986,18,3,15,173,150,2,21,11,6,626,802227,264662,537565,14,2,12
7,중랑구,213,191,4,18,4,7,604,345257,168024,177233,13,1,12,188,162,9,17,-,-,933,377343,180328,197015,23,3,20
8,성북구,168,153,4,11,7,72,659,493231,303121,190110,50,4,46,158,135,6,17,20,5,837,338543,131717,206826,14,1,13
9,강북구,146,130,3,13,41,-,488,410205,211977,198228,19,5,14,155,130,7,18,36,8,585,333463,178589,154874,14,1,13
10,도봉구,140,125,3,12,3,2,324,219916,146778,73138,6,-,6,159,138,4,17,14,2,803,279020,156102,122918,13,2,11
11,노원구,173,154,4,15,17,7,1108,432605,231336,201269,13,1,12,169,147,7,15,21,1,7006,376315,199302,177013,7,3,4
12,은평구,160,145,2,13,18,11,882,875722,340436,535286,11,3,8,217,195,3,19,15,6,3375,609785,191089,418696,17,1,16
13,서대문구,262,236,6,20,4,8,354,249728,122287,127441,7,-,7,223,196,6,21,8,4,946,496822,248014,248808,9,2,7
14,마포구,242,212,5,25,15,4,556,591687,229022,362665,9,2,7,250,237,-,13,34,19,964,638235,273997,364238,15,1,14
15,양천구,151,138,2,11,8,7,307,576094,192645,383449,5,2,3,159,144,1,14,-,1,460,366561,182185,184376,6,-,6
16,강서구,223,197,5,21,37,1,560,559614,196597,363017,14,2,12,223,181,1,41,48,3,903,545016,194604,350412,15,4,11
17,구로구,173,147,4,22,-,26,2889,1765589,883333,882256,8,1,7,222,194,6,22,3,17,497,424132,139453,284679,5,-,5
18,금천구,118,108,1,9,2,1,423,825255,170912,654343,10,2,8,214,193,1,20,11,29,1061,934792,467717,467075,15,1,14
19,영등포구,208,176,5,27,2,2,2052,913698,529638,384060,8,-,8,249,212,6,31,18,12,1258,823438,440327,383111,26,5,21
20,동작구,129,121,-,8,16,6,206,307365,100290,207075,12,3,9,187,176,2,9,11,8,686,214638,114330,100308,18,1,17
21,관악구,259,224,7,28,43,25,1087,562294,289865,272429,19,2,17,305,275,3,27,34,38,1003,337349,155294,182055,18,1,17
22,서초구,231,215,3,13,18,9,1758,549807,213184,336623,9,-,9,216,195,3,18,21,13,2531,406287,146170,260117,13,-,13
23,강남구,391,356,6,29,36,13,1909,1354949,612282,742667,17,2,15,437,402,9,26,64,28,1721,1923724,874519,1049205,17,-,17
24,송파구,263,237,4,22,55,3,457,788289,228466,559823,6,1,5,350,328,4,18,82,4,1424,1043294,490790,552504,13,1,12
25,강동구,211,188,5,18,33,4,817,346741,100171,246570,13,1,12,194,162,2,30,51,6,2183,807586,300126,507460,26,1,25
